country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,source_system,source_agency,source_url,collected_at_utc,quality_flag,regulatory_use,historical_limit
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",26-08-2026 23:00:00,25.7808257,84.7446768,PM10,110,115,112,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",26-08-2026 23:00:00,25.7808257,84.7446768,NO2,0,1,1,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-08-2026 23:00:00,24.762518,84.982348,PM10,21,41,31,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-08-2026 23:00:00,25.697189,85.2459,PM2.5,20,50,33,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-08-2026 23:00:00,25.560083,87.553265,PM10,22,35,28,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-08-2026 23:00:00,25.560083,87.553265,CO,78,100,91,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-08-2026 23:00:00,26.0881305,87.93840336,SO2,7,10,9,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",26-08-2026 23:00:00,27.308328,84.531742,PM10,48,176,85,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-08-2026 23:00:00,26.071318,91.87488,CO,57,69,62,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-08-2026 23:00:00,26.2028636,91.70046436,NO2,1,4,2,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-08-2026 23:00:00,26.2028636,91.70046436,SO2,32,33,33,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-08-2026 23:00:00,26.2028636,91.70046436,CO,73,80,76,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-08-2026 23:00:00,26.10887,91.589544,NO2,10,58,16,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-08-2026 23:00:00,26.10887,91.589544,CO,6,39,26,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
