area_id,area_name,state,district_or_city,area_type,area_latitude,area_longitude,station_id,station_name,station_latitude,station_longitude,distance_metres,sensor_id,pollutant_code,parameter_id,source_unit,sensor_first_utc,sensor_last_utc,source_system,source_url,regulatory_use,evidence_tier
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,17,"R K Puram, Delhi - DPCC",28.563262,77.186937,6012.85150593,35,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,17,"R K Puram, Delhi - DPCC",28.563262,77.186937,6012.85150593,12234787,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,17,"R K Puram, Delhi - DPCC",28.563262,77.186937,6012.85150593,393,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,17,"R K Puram, Delhi - DPCC",28.563262,77.186937,6012.85150593,12234789,so2,101,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,398,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234791,co,102,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234793,no2,15,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,400,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234794,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,71,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,395,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234795,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,396,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234796,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,12234798,so2,101,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,10127.05986595,397,so2,6,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,4091.645402,169,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,4091.645402,13863,no2,5,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,4091.645402,168,o3,3,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,4091.645402,13862,pm10,1,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,4091.645402,13861,pm25,2,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,12235605,co,102,ppb,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
DEL_CITY,Delhi NCR,Delhi,Delhi,city,28.6139,77.209,235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,11084.23398086,385,co,4,µg/m³,,,OpenAQ v3 station discovery fallback,https://api.openaq.org/v3/locations,prohibited - development fallback only,station discovery - upstream provider verification required
